date,mobile_device_brand,mobile_device_os,credit_card_type,currency
2025-07-23,Samsung,Feature phone,jcb,Franc
2025-10-05,Nokia,"Android 7.1.1, up to Android 9.0",mastercard,Peso
2025-03-28,Huawei,"Android 9.0, EMUI 9.1",jcb,Dollar
2025-05-19,Huawei,"Android 9.0, EMUI 9.0",jcb,Peso
2025-04-01,Sagem,Feature phone,jcb,Hryvnia
2025-04-11,Bird,Feature phone,jcb,Dong
2025-11-05,Motorola,Feature phone,diners-club-us-ca,Naira
2026-01-01,Sony,"Android 4.3, up to 5.1",china-unionpay,Rupiah
2025-12-03,OnePlus,"Android 10, OxygenOS 10.0",maestro,Ruble
2025-03-19,Spice,Android 2.3.5,maestro,Peso
2025-08-30,LG,"Android 8.1, up to Android 10, Android One",switch,Rupiah
2025-08-18,Samsung,Feature phone,maestro,Peso
2025-12-19,Lenovo,Android 5.1,jcb,Dollar
2025-02-10,Mitsubishi,Feature phone,diners-club-carte-blanche,Ruble
2025-11-27,Samsung,Feature phone,instapayment,Ruble
2025-12-18,Acer,Android 4.2,bankcard,Rupiah
2025-10-27,Sony,Feature phone,visa-electron,Lempira
2025-07-25,Huawei,Android 4.0.4,mastercard,Dram
2025-09-26,Lenovo,Android 4.4,jcb,Lev
2025-06-13,Sony,Feature phone,diners-club-carte-blanche,Rupiah
2025-07-11,Sony,Feature phone,jcb,Euro
2025-05-18,Acer,Android 4.4.2,visa,Euro
2025-08-08,Xiaomi,"Android 10, MIUI 11",switch,Krona
2025-11-18,Siemens,Feature phone,solo,Peso
2025-07-02,Mitsubishi,Microsoft Windows PocketPC,jcb,Dollar
2025-09-23,Motorola,Feature phone,jcb,Lira
2025-09-17,alcatel,Feature phone,maestro,Baht
2025-02-12,BlackBerry,BlackBerry OS,maestro,Dollar
2025-06-23,QMobile,Android 4.4,visa-electron,Yuan Renminbi
2025-05-09,BenQ-Siemens,Feature phone,jcb,Euro
2025-10-31,Huawei,Android 2.3.6,jcb,Pound
2025-12-25,Panasonic,Feature phone,diners-club-enroute,Dollar
2025-01-28,BLU,Android 2.3,jcb,Dollar
2026-01-02,verykool,Android 4.4.2,jcb,Shekel
2025-07-05,Panasonic,Feature phone,mastercard,Yuan Renminbi
2025-01-27,Asus,"Android 7, ZenUI 3",jcb,Real
2025-10-23,Huawei,Android 4.0.4,maestro,Zloty
2025-09-01,Samsung,Android 2.3.3,switch,Baht
2025-04-11,Samsung,Feature phone,jcb,Euro
2026-01-03,Maxwest,Android 4.2.2,mastercard,Naira
2025-05-09,LG,Feature phone,bankcard,Yuan Renminbi
2025-06-09,Motorola,Android 8.0 Oreo,switch,Peso
2026-01-16,LG,Feature phone,jcb,Yuan Renminbi
2025-05-02,Samsung,Feature phone,jcb,Ruble
2025-11-14,Sony,"Android 4.3, up to 4.4.2, Timescape UI",visa-electron,Zloty
2025-07-17,Samsung,"Android 2.1, up to 2.2",jcb,Yuan Renminbi
2025-06-23,Micromax,Feature phone,jcb,Shekel
2025-03-19,Samsung,Feature phone,jcb,Rupiah
2025-12-15,Samsung,Feature phone,jcb,Euro
2025-05-09,HTC,Android 10,visa,Yuan Renminbi
2025-10-30,BLU,Android 4.2,china-unionpay,Pound
2025-08-18,ZTE,Feature phone,jcb,Ruble
2025-06-02,Motorola,Android 10,visa-electron,Peso
2025-08-29,Pantech,Feature phone,mastercard,Zloty
2025-02-04,Micromax,Android 2.2,americanexpress,Dirham
2025-04-06,HTC,Microsoft Windows Phone 8,jcb,Rial
2025-12-18,Samsung,"Android 4.4, TouchWiz UI",visa,Peso
2025-06-20,LG,Feature phone,jcb,Yuan Renminbi
2026-01-09,Allview,Android 7.0,solo,Lempira
2025-03-01,alcatel,"Android 4.2.2, up to 5.0",visa-electron,Yuan Renminbi
2025-06-25,Parla,Feature phone,china-unionpay,Yuan Renminbi
2025-05-07,LG,Feature phone,jcb,Rupiah
2025-05-03,HTC,"Android 4.2.2, up to 5.0, Sense UI",jcb,Ruble
2025-11-29,XOLO,Android 4.2,jcb,Euro
2025-11-12,Sagem,Feature phone,diners-club-enroute,Zloty
2025-06-27,vivo,"Android 5.1, Funtouch 2.1",jcb,Real
2025-12-30,BlackBerry,"BlackBerry OS 5, up",jcb,Peso
2025-07-12,Acer,Android 4.4.2,diners-club-carte-blanche,Rupiah
2025-12-05,Yezz,Android 4.2,china-unionpay,Rial
2025-04-18,Prestigio,Android 4.2,jcb,Peso
2025-04-13,O2,Microsoft Windows Mobile 6.1 Professional,americanexpress,Yuan Renminbi
2025-11-10,Samsung,"Android 4.3, up to 4.4.2, up to 5.0",visa,Zloty
2025-09-26,Motorola,"Android 8.0, Android One",maestro,Krona
2026-01-17,Telit,Feature phone,jcb,Yuan Renminbi
2025-07-12,Yezz,Android 2.3,maestro,Euro
2025-03-23,ZTE,Android 6.0,jcb,Rupiah
2025-07-22,BLU,Android 8.1 Oreo,americanexpress,Krona
2025-04-14,Samsung,Feature phone,china-unionpay,Real
2025-02-05,Xiaomi,"Android 5.0, MIUI 6",jcb,Yuan Renminbi
2025-04-13,Realme,"Android 9.0, up to Android 10, Realme UI",jcb,Yen
2025-01-22,Orange,Feature phone,visa-electron,Ruble
2025-05-17,Plum,Android 2.3.1,mastercard,Ruble
2025-10-21,Lenovo,Android 5.0.2,jcb,Euro
2025-04-18,Spice,Android 2.2,maestro,Yuan Renminbi
2025-08-29,Sony,"Android 2.3, up to 4.0",bankcard,Rupiah
2025-09-03,Nokia,"Symbian 9.4, Series 60 rel. 5",china-unionpay,Yuan Renminbi
2025-11-01,Motorola,Android 10,bankcard,Yuan Renminbi
2025-05-25,Lava,Android 2.3,diners-club-enroute,Ruble
2025-05-30,LG,Android 4.4.2,switch,Euro
2025-10-18,HTC,"Android 5.1.1, up to 6.0.1, Sense UI 7",instapayment,Pound
2025-02-12,Karbonn,Android 4.0,maestro,Real
2025-04-07,T-Mobile,Danger 4.7,china-unionpay,Zloty
2026-01-21,Ulefone,"Android 10, planned upgrade to Android 11",jcb,Krona
2025-11-25,Micromax,Feature phone,jcb,Rupiah
2025-03-18,Motorola,Feature phone,diners-club-enroute,Hryvnia
2025-11-30,Samsung,Feature phone,maestro,Euro
2025-10-13,T-Mobile,Feature phone,visa,Boliviano
2025-09-05,HTC,"Android 4.4.2, up to 4.4.4, Sense UI 6",instapayment,Peso
2025-11-24,ZTE,Feature phone,jcb,Yuan Renminbi
2025-05-10,Asus,"Android 6.0, up to 7.0",switch,Peso
2025-09-03,Yezz,Android 4.2,jcb,Tugrik
2025-06-02,Nokia,Feature phone,bankcard,Peso
2025-02-18,Asus,Android 4.3,americanexpress,Euro
2025-11-11,Gigabyte,Microsoft Windows Mobile 6.0 Professional,bankcard,Zloty
2025-04-13,Samsung,"Android 2.1, up to 2.3",jcb,Shekel
2025-05-08,Motorola,Feature phone,laser,Ariary
2025-02-10,Honor,"Android 10, Magic UI 3.1",visa,Rupiah
2025-07-13,Honor,"Android 10, Magic UI 3.1",jcb,Yuan Renminbi
2025-12-03,Huawei,Feature phone,jcb,Euro
2025-10-24,Samsung,"Android 6.0.1, up to Android 8.1",mastercard,Rupee
2025-04-14,Nokia,Feature phone,jcb,Ruble
2025-09-26,BlackBerry,BlackBerry Tablet OS,jcb,Peso
2025-12-09,Samsung,Microsoft Windows Mobile 6.1 Professional,mastercard,Real
2025-02-19,Samsung,"Android 9.0, up to Android 11, One UI 3.0",americanexpress,Euro
2025-05-16,alcatel,Feature phone,jcb,Euro
2025-06-27,i-mate,Microsoft Windows Mobile 6.0 Professional,jcb,Euro
2025-03-04,Google,"Android 9.0, up to Android 11",switch,Euro
2026-01-21,Infinix,"Android 10, XOS 6.0",visa-electron,Som
2025-04-24,Samsung,Feature phone,solo,Yuan Renminbi
2025-11-06,Vodafone,Android 8.1,jcb,Ruble
2025-08-13,Huawei,"Android 8.0, up to Android 10, EMUI 10.2",jcb,Ruble
2025-11-05,Samsung,Feature phone,americanexpress,Euro
2025-11-16,Vodafone,Feature phone,maestro,Koruna
2025-06-04,Allview,Android 9.0,americanexpress,Yuan Renminbi
2025-06-21,Micromax,Android 4.4.2,jcb,Yuan Renminbi
2025-10-15,Samsung,Android 2.3.5,diners-club-us-ca,Peso
2025-05-11,HTC,"Android 6.0, Sense UI",jcb,Euro
2025-06-30,Xiaomi,"Android 10, MIUI 12",jcb,Euro
2025-12-24,Micromax,Android 4.2.2,diners-club-carte-blanche,Euro
2025-04-01,Eten,Microsoft Windows Mobile 5.0 PocketPC,diners-club-carte-blanche,Yuan Renminbi
2025-09-14,Samsung,"Android 4.1.2, TouchWiz UX UI",laser,Euro
2025-07-12,alcatel,Feature phone,jcb,Euro
2025-02-15,Telit,Feature phone,visa-electron,Naira
2025-11-25,Nokia,Feature phone,diners-club-enroute,Peso
2025-07-01,Bird,Feature phone,switch,Euro
2025-05-12,Gionee,"Android 7, Amigo 4",jcb,Peso
2025-09-17,Bird,Feature phone,diners-club-carte-blanche,Dollar
2025-05-03,Samsung,Feature phone,mastercard,Yuan Renminbi
2025-12-17,QMobile,Android 4.4,visa,Peso
2025-07-15,LG,Feature phone,jcb,Rupiah
2025-05-23,Oppo,"Android 10, ColorOS 7.2",bankcard,Dollar
2025-08-19,Philips,Feature phone,switch,Ruble
2025-03-29,Xiaomi,"Android 8.1, planned upgrade to 10, MIUI 12",bankcard,Euro
2025-10-11,BlackBerry,BlackBerry OS,jcb,Krona
2025-04-09,Xiaomi,"Android 8.0, MIUI 9",bankcard,Naira
2025-03-18,Nokia,Feature phone,diners-club-enroute,Yuan Renminbi
